學年,學期,國家,學校,學院,學系
107年度,一學年,德國,杜賓根大學,管理學院,會計學系
107年度,一學期,中國大陸,北京大學,管理學院,財務金融學系
107年度,一學年,德國,杜賓根大學,管理學院,財務金融學系
107年度,一學期,中國大陸,上海交通大學,管理學院,財務金融學系
107年度,一學期,美國,加州大學,管理學院,財務金融學系
107年度,一學期,法國,南巴黎大學 (巴黎第十一大學),管理學院,財務金融學系
107年度,一學年,南韓,成均館大學,管理學院,國際企業學系
107年度,一學年,法國,巴黎高等政治學院,管理學院,國際企業學系
107年度,一學期,瑞士,洛桑大學,管理學院,國際企業學系
107年度,一學期,荷蘭,馬斯垂克大學,管理學院,國際企業學系
107年度,一學年,美國,喬治梅森大學,管理學院,國際企業學系
107年度,一學期,荷蘭,馬斯垂克大學,管理學院,資訊管理學系
107年度,一學期,法國,里爾天主教大學,公共衛生學院,公共衛生學系
107年度,一學年,日本,九州大學,理學院,心理學系
107年度,一學年,德國,波昂大學,公共衛生學院,公共衛生學系
107年度,一學期,中國大陸,復旦大學,公共衛生學院,公共衛生學系
107年度,一學年,德國,卡爾斯魯爾理工學院,電機資訊學院,電機工程學系
107年度,一學期,日本,北海道大學,電機資訊學院,電機工程學系
107年度,一學期,新加坡,新加坡國立大學,電機資訊學院,電機工程學系
107年度,一學期,新加坡,新加坡國立大學,電機資訊學院,資訊工程學系
107年度,一學年,日本,大阪大學,法律學院,法律學系
107年度,一學年,日本,琉球大學,法律學院,法律學系
107年度,一學期,荷蘭,奈梅亨大學,法律學院,法律學系
107年度,一學年,日本,琉球大學,法律學院,法律學系
107年度,一學期,挪威,奧斯陸大學,法律學院,法律學系
107年度,一學年,日本,國際教養大學,法律學院,法律學系
107年度,一學年,美國,加州大學,生命科學院,生化科技學系
107年度,一學期,德國,烏爾姆大學,生命科學院,生化科技學系
107年度,一學期,新加坡,新加坡國立大學,文學院,外國語文學系
107年度,一學期,中國大陸,清華大學,文學院,歷史學系
107年度,一學期,荷蘭,奈梅亨大學,文學院,圖書資訊學系
107年度,一學期,中國大陸,北京師範大學,理學院,物理學系
107年度,一學期,冰島,冰島大學,理學院,地質科學系
107年度,一學期,新加坡,南洋理工大學,理學院,地理環境資源學系
107年度,一學年,德國,柏林工業大學,理學院,大氣科學系
107年度,一學期,中國大陸,復旦大學,社會科學院,政治學系
107年度,一學期,法國,巴黎高等政治學院,社會科學院,政治學系
107年度,一學期,南韓,延世大學,管理學院,工商管理學系
107年度,一學期,加拿大,維多利亞大學,社會科學院,政治學系
107年度,一學年,澳大利亞,新南威爾斯大學,社會科學院,經濟學系
107年度,一學期,美國,南卡羅來納大學,社會科學院,經濟學系
107年度,一學期,中國大陸,復旦大學,生物資源暨農學院,園藝暨景觀學系
107年度,一學期,中國大陸,清華大學,生物資源暨農學院,生物產業傳播暨發展學系
107年度,一學年,荷蘭,奈梅亨大學,管理學院,工商管理學系
107年度,一學年,義大利,聖心天主教大學,管理學院,會計學系
107年度,一學年,荷蘭,馬斯垂克大學,管理學院,會計學系
107年度,一學期,中國大陸,北京大學,管理學院,會計學系
107年度,一學年,荷蘭,烏特列茲大學,管理學院,國際企業學系
107年度,一學年,美國,加州大學,公共衛生學院,公共衛生學系
107年度,一學期,中國大陸,復旦大學,公共衛生學院,公共衛生學系
107年度,一學年,澳大利亞,新南威爾斯大學,電機資訊學院,資訊工程學系
107年度,一學期,中國大陸,中國人民大學,法律學院,法律學系
107年度,一學年,澳大利亞,蒙納許大學,法律學院,法律學系
107年度,一學年,瑞士,聖加倫大學,管理學院,工商管理學系
107年度,一學年,日本,上智大學,文學院,日本語文學系
107年度,一學年,法國,尚慕蘭里昂第三大學,文學院,外國語文學系
107年度,一學期,德國,慕尼黑工業大學,公共衛生學院,公共衛生學系
107年度,一學年,瑞典,隆德大學,社會科學院,政治學系
107年度,一學期,美國,亞利桑那州立大學,公共衛生學院,公共衛生學系
107年度,一學期,荷蘭,馬斯垂克大學,管理學院,工商管理學系
107年度,一學年,奧地利,林茲大學,文學院,圖書資訊學系
107年度,一學期,德國,斯圖加特大學,管理學院,工商管理學系
107年度,一學年,澳大利亞,新南威爾斯大學,理學院,心理學系
107年度,一學期,香港,香港城市大學,生物資源暨農學院,生物機電工程學系
107年度,一學期,中國大陸,北京師範大學,文學院,日本語文學系
107年度,一學期,中國大陸,武漢大學,生物資源暨農學院,生物產業傳播暨發展學系
107年度,一學年,美國,加州大學,理學院,物理學系
107年度,一學期,中國大陸,復旦大學,社會科學院,政治學系
107年度,一學期,中國大陸,武漢大學,管理學院,資訊管理學系
107年度,一學期,中國大陸,北京大學,電機資訊學院,資訊工程學系
107年度,一學年,日本,筑波大學,管理學院,會計學系
107年度,一學年,美國,康乃狄克大學,文學院,中國文學系
107年度,一學期,新加坡,新加坡國立大學,文學院,外國語文學系
107年度,一學期,美國,北卡羅來納大學教堂山分校,文學院,外國語文學系
107年度,一學期,中國大陸,北京大學,文學院,中國文學系
107年度,一學期,美國,天普大學,公共衛生學院,公共衛生學系
107年度,一學期,日本,東京工業大學,生命科學院,生化科技學系
107年度,一學期,法國,里爾天主教大學,生物資源暨農學院,生物產業傳播暨發展學系
107年度,一學期,新加坡,南洋理工大學,工學院,機械工程學系
107年度,一學期,新加坡,南洋理工大學,社會科學院,經濟學系
107年度,一學年,日本,關西學院大學,電機資訊學院,資訊工程學系
107年度,一學期,中國大陸,北京大學,文學院,中國文學系
107年度,一學年,美國,加州大學,生物資源暨農學院,生物產業傳播暨發展學系
107年度,一學期,新加坡,新加坡管理大學,管理學院,國際企業學系
107年度,一學期,瑞典,皇家理工學院,電機資訊學院,資訊工程學系
107年度,一學期,巴西,里約熱內盧天主教大學,文學院,戲劇學系
107年度,一學期,日本,一橋大學,文學院,日本語文學系
107年度,一學期,中國大陸,南開大學,文學院,歷史學系
107年度,一學期,美國,南卡羅來納大學,管理學院,會計學系
107年度,一學期,新加坡,南洋理工大學,電機資訊學院,電機工程學系
107年度,一學年,德國,慕尼黑工業大學,工學院,機械工程學系
107年度,一學年,美國,紐約州立大學 阿爾伯尼分校,理學院,大氣科學系
107年度,一學年,瑞典,烏普薩拉大學,生物資源暨農學院,農業經濟學系
107年度,一學年,新加坡,新加坡管理大學,理學院,心理學系
107年度,一學年,日本,東京外國語大學,文學院,日本語文學系
107年度,一學年,日本,筑波大學,管理學院,財務金融學系
107年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),社會科學院,經濟學系
107年度,一學期,新加坡,南洋理工大學,生物資源暨農學院,生物產業傳播暨發展學系
107年度,一學期,加拿大,滑鐵盧大學,文學院,外國語文學系
107年度,一學年,英國,曼徹斯特大學,文學院,外國語文學系
107年度,一學期,美國,匹茲堡大學,文學院,圖書資訊學系
107年度,一學期,荷蘭,阿姆斯特丹自由大學,文學院,外國語文學系
107年度,一學年,日本,東北大學,文學院,日本語文學系
107年度,一學年,新加坡,新加坡國立大學,電機資訊學院,資訊工程學系
107年度,一學期,新加坡,新加坡科技與設計大學,文學院,圖書資訊學系
107年度,一學年,日本,筑波大學,文學院,日本語文學系
107年度,一學年,日本,關西學院大學,文學院,日本語文學系
107年度,一學年,德國,柏林洪堡大學,社會科學院,政治學系
107年度,一學年,英國,曼徹斯特大學,文學院,外國語文學系
107年度,一學期,荷蘭,烏特列茲大學,文學院,戲劇學系
107年度,一學年,日本,京都大學,文學院,日本語文學系
107年度,一學年,法國,巴黎高等政治學院,法律學院,法律學系
107年度,一學年,日本,同志社大學,文學院,日本語文學系
107年度,一學年,日本,筑波大學,理學院,心理學系
107年度,一學期,香港,香港城市大學,文學院,哲學系
107年度,一學年,日本,神戶大學,文學院,日本語文學系
107年度,一學年,泰國,朱拉隆功大學,社會科學院,社會工作學系
107年度,一學期,中國大陸,天津大學,理學院,數學系
107年度,一學期,美國,加州大學,管理學院,國際企業學系
107年度,一學期,美國,加州大學,管理學院,財務金融學系
106年度,一學期,新加坡,南洋理工大學,工學院,化學工程學系
106年度,一學年,德國,烏爾姆大學,工學院,機械工程學系
106年度,一學期,日本,關西學院大學,文學院,外國語文學系
106年度,一學年,瑞典,隆德大學,社會科學院,社會工作學系
106年度,一學期,中國大陸,武漢理工大學,生物資源暨農學院,農藝學系
106年度,一學期,英國,肯特大學,管理學院,國際企業學系
106年度,一學期,中國大陸,北京大學,文學院,中國文學系
106年度,一學期,中國大陸,四川大學,文學院,中國文學系
106年度,一學年,日本,國際教養大學,文學院,中國文學系
106年度,一學年,日本,國際教養大學,文學院,中國文學系
106年度,一學年,澳大利亞,澳洲國立大學,文學院,中國文學系
106年度,一學年,美國,加州大學,文學院,外國語文學系
106年度,一學年,日本,名古屋外國語大學,文學院,外國語文學系
106年度,一學期,加拿大,西門菲沙大學,文學院,外國語文學系
106年度,一學年,德國,海德堡大學,文學院,外國語文學系
106年度,一學年,日本,上智大學,文學院,外國語文學系
106年度,一學期,土耳其,柯克大學,文學院,外國語文學系
106年度,一學年,德國,杜賓根大學,文學院,外國語文學系
106年度,一學期,中國大陸,四川大學,文學院,外國語文學系
106年度,一學年,德國,漢堡大學,文學院,外國語文學系
106年度,一學期,南韓,首爾國立大學,文學院,外國語文學系
106年度,一學年,西班牙,薩拉曼卡大學,文學院,外國語文學系
106年度,一學期,義大利,聖心天主教大學,文學院,外國語文學系
106年度,一學期,德國,漢堡大學,文學院,外國語文學系
106年度,一學期,泰國,國立法政大學,文學院,外國語文學系
106年度,一學年,日本,御茶水女子大學,文學院,歷史學系
106年度,一學期,美國,夏威夷大學瑪諾亞分校,文學院,人類學系
106年度,一學期,中國大陸,北京大學,文學院,人類學系
106年度,一學期,中國大陸,中山大學,文學院,人類學系
106年度,一學年,瑞典,烏普薩拉大學,文學院,人類學系
106年度,一學期,美國,馬里蘭大學,文學院,圖書資訊學系
106年度,一學期,中國大陸,北京大學,社會科學院,經濟學系
106年度,一學年,澳大利亞,蒙納許大學,文學院,圖書資訊學系
106年度,一學年,日本,神奈川大學,文學院,圖書資訊學系
106年度,一學期,日本,同志社大學,管理學院,資訊管理學系
106年度,一學年,日本,東京學藝大學,文學院,日本語文學系
106年度,一學期,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),管理學院,會計學系
106年度,一學年,日本,東京外國語大學,文學院,日本語文學系
106年度,一學年,日本,廣島大學,文學院,日本語文學系
106年度,一學年,日本,北海道大學,文學院,日本語文學系
106年度,一學期,澳大利亞,馬奎里大學,文學院,日本語文學系
106年度,一學期,中國大陸,內蒙古大學,文學院,戲劇學系
106年度,一學期,中國大陸,四川大學,文學院,戲劇學系
106年度,一學年,立陶宛,維爾紐斯大學,生物資源暨農學院,動物科學技術學系
106年度,一學期,中國大陸,武漢理工大學,理學院,地質科學系
106年度,一學期,瑞典,林雪平大學,理學院,地質科學系
106年度,一學期,加拿大,愛德華王子島大學,理學院,心理學系
106年度,一學期,香港,香港大學,理學院,心理學系
106年度,一學期,美國,夏威夷大學瑪諾亞分校,理學院,心理學系
106年度,一學期,荷蘭,馬斯垂克大學,理學院,心理學系
106年度,一學期,美國,奧瑞岡大學,理學院,心理學系
106年度,一學期,香港,香港中文大學,理學院,地理環境資源學系
106年度,一學期,美國,奧克拉荷瑪大學,理學院,大氣科學系
106年度,一學年,南韓,漢陽大學,社會科學院,政治學系
106年度,一學年,南韓,延世大學,社會科學院,政治學系
106年度,一學年,日本,東京學藝大學,文學院,日本語文學系
106年度,一學年,南韓,國立釜山大學,社會科學院,政治學系
106年度,一學年,南韓,成均館大學,管理學院,財務金融學系
106年度,一學年,荷蘭,萊頓大學,社會科學院,政治學系
106年度,一學年,西班牙,聖地牙哥．孔波斯特拉大學,社會科學院,政治學系
106年度,一學年,德國,杜賓根大學,社會科學院,政治學系
106年度,一學期,加拿大,多倫多大學,社會科學院,經濟學系
106年度,一學年,日本,筑波大學,社會科學院,經濟學系
106年度,一學期,中國大陸,浙江大學,社會科學院,經濟學系
106年度,一學期,英國,肯特大學,社會科學院,社會學系
106年度,一學年,法國,巴黎高等政治學院,管理學院,工商管理學系
106年度,一學年,南韓,梨花女子大學,社會科學院,社會工作學系
106年度,一學期,巴西,里約熱內盧天主教大學,社會科學院,社會工作學系
106年度,一學期,中國大陸,南京大學,社會科學院,社會工作學系
106年度,一學期,加拿大,魁北克大學蒙特婁分校,醫學院,護理學系
106年度,一學期,中國大陸,北京大學,醫學院,護理學系
106年度,一學期,泰國,國立法政大學,工學院,土木工程學系
106年度,一學年,日本,國際教養大學,工學院,土木工程學系
106年度,一學年,瑞典,優密歐大學,工學院,土木工程學系
106年度,一學期,紐西蘭,威靈頓維多利亞大學,社會科學院,社會工作學系
106年度,一學期,德國,斯圖加特大學,工學院,機械工程學系
106年度,一學期,德國,亞亨工業大學,工學院,機械工程學系
106年度,一學年,美國,新澤西州立羅格斯大學,理學院,物理學系
106年度,一學年,日本,岡山大學,工學院,機械工程學系
106年度,一學年,德國,柏林自由大學,工學院,化學工程學系
106年度,一學期,西班牙,馬德里技術大學,工學院,化學工程學系
106年度,一學期,德國,魯耳波洪大學,工學院,材料科學與工程學系
106年度,一學年,德國,卡爾斯魯爾理工學院,工學院,材料科學與工程學系
106年度,一學期,德國,魯耳波洪大學,工學院,材料科學與工程學系
106年度,一學年,日本,廣島大學,生物資源暨農學院,森林環境暨資源學系
106年度,一學期,中國大陸,中國農業大學,生物資源暨農學院,森林環境暨資源學系
106年度,一學期,新加坡,新加坡科技與設計大學,生物資源暨農學院,農業經濟學系
106年度,一學期,美國,奧瑞岡大學,理學院,心理學系
106年度,一學年,義大利,聖心天主教大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,荷蘭,馬斯垂克大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,中國大陸,南京大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,中國大陸,上海交通大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,義大利,聖心天主教大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,南韓,首爾國立大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,德國,杜賓根大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,新加坡,南洋理工大學,生物資源暨農學院,生物機電工程學系
106年度,一學期,中國大陸,上海交通大學,生物資源暨農學院,植物病理與微生物學系
106年度,一學期,中國大陸,上海交通大學,管理學院,工商管理學系
106年度,一學年,新加坡,新加坡科技與設計大學,管理學院,工商管理學系
106年度,一學期,德國,慕尼黑工業大學,工學院,機械工程學系
106年度,一學年,南韓,韓國科學技術院,管理學院,會計學系
106年度,一學年,日本,一橋大學,管理學院,財務金融學系
106年度,一學期,美國,華盛頓大學,管理學院,財務金融學系
106年度,一學年,南韓,韓國科學技術院,管理學院,財務金融學系
106年度,一學期,中國大陸,上海交通大學,管理學院,國際企業學系
106年度,一學年,日本,青山學院大學,管理學院,國際企業學系
106年度,一學年,日本,立命館大學,電機資訊學院,資訊工程學系
106年度,一學期,中國大陸,大連理工大學,管理學院,資訊管理學系
106年度,一學年,瑞典,優密歐大學,公共衛生學院,公共衛生學系
106年度,一學年,日本,北海道大學,電機資訊學院,電機工程學系
106年度,一學年,瑞典,皇家理工學院,電機資訊學院,電機工程學系
106年度,一學期,中國大陸,貴州大學,法律學院,法律學系
106年度,一學年,日本,一橋大學,法律學院,法律學系
106年度,一學年,日本,上智大學,生命科學院,生命科學系
106年度,一學期,西班牙,巴塞隆納自治大學,文學院,中國文學系
106年度,一學期,中國大陸,吉林大學,文學院,中國文學系
106年度,一學年,日本,大阪大學,社會科學院,社會學系
106年度,一學期,中國大陸,北京大學,文學院,中國文學系
106年度,一學期,法國,里爾天主教大學,文學院,外國語文學系
106年度,一學年,日本,慶應義塾大學,文學院,外國語文學系
106年度,一學期,法國,巴黎高等政治學院,文學院,外國語文學系
106年度,一學年,日本,岡山大學,文學院,外國語文學系
106年度,一學年,美國,加州大學,文學院,外國語文學系
106年度,一學期,加拿大,西門菲沙大學,文學院,外國語文學系
106年度,一學期,西班牙,馬德里自治大學,文學院,外國語文學系
106年度,一學年,日本,早稻田大學,文學院,外國語文學系
106年度,一學期,加拿大,渥太華大學,文學院,外國語文學系
106年度,一學期,西班牙,馬德里大學,文學院,外國語文學系
106年度,一學年,德國,艾朗根紐倫堡大學,文學院,外國語文學系
106年度,一學年,日本,一橋大學,文學院,外國語文學系
106年度,一學期,馬來西亞,馬來西亞理科大學(USM),文學院,外國語文學系
106年度,一學期,奧地利,維也納大學,文學院,外國語文學系
106年度,一學年,日本,筑波大學,醫學院,物理治療學系
106年度,一學期,中國大陸,上海交通大學,文學院,歷史學系
106年度,一學期,新加坡,新加坡國立大學,文學院,歷史學系
106年度,一學期,芬蘭,赫爾辛基大學,文學院,歷史學系
106年度,一學期,泰國,朱拉隆功大學,文學院,人類學系
106年度,一學期,荷蘭,馬斯垂克大學,社會科學院,經濟學系
106年度,一學期,加拿大,渥太華大學,文學院,圖書資訊學系
106年度,一學年,愛爾蘭,都柏林大學學院,文學院,外國語文學系
106年度,一學年,瑞士,洛桑大學,文學院,圖書資訊學系
106年度,一學期,中國大陸,北京大學,文學院,圖書資訊學系
106年度,一學期,南韓,首爾國立大學,文學院,圖書資訊學系
106年度,一學期,芬蘭,赫爾辛基大學,文學院,圖書資訊學系
106年度,一學期,日本,筑波大學,管理學院,會計學系
106年度,一學年,日本,長崎大學,文學院,日本語文學系
106年度,一學年,日本,早稻田大學,文學院,日本語文學系
106年度,一學年,日本,長崎大學,文學院,日本語文學系
106年度,一學年,日本,上智大學,文學院,日本語文學系
106年度,一學年,日本,創價大學,文學院,日本語文學系
106年度,一學年,德國,艾朗根紐倫堡大學,文學院,戲劇學系
106年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),理學院,地質科學系
106年度,一學年,美國,北卡羅來納大學教堂山分校,理學院,心理學系
106年度,一學期,美國,伊利諾大學芝加哥分校,理學院,心理學系
106年度,一學期,中國大陸,東南大學,理學院,地理環境資源學系
106年度,一學期,冰島,冰島大學,理學院,大氣科學系
106年度,一學年,西班牙,巴塞隆納自治大學,社會科學院,政治學系
106年度,一學年,法國,尚慕蘭里昂第三大學,社會科學院,政治學系
106年度,一學期,香港,香港城市大學,社會科學院,政治學系
106年度,一學年,瑞士,聖加倫大學,社會科學院,政治學系
106年度,一學年,美國,天普大學,社會科學院,政治學系
106年度,一學年,芬蘭,赫爾辛基大學,社會科學院,政治學系
106年度,一學年,荷蘭,萊頓大學,社會科學院,政治學系
106年度,一學期,荷蘭,馬斯垂克大學,管理學院,財務金融學系
106年度,一學年,香港,香港城市大學,社會科學院,政治學系
106年度,一學年,南韓,首爾國立大學,社會科學院,政治學系
106年度,一學年,美國,馬里蘭大學,社會科學院,政治學系
106年度,一學期,德國,烏爾姆大學,社會科學院,政治學系
106年度,一學期,丹麥,哥本哈根大學,社會科學院,政治學系
106年度,一學年,香港,香港理工大學,社會科學院,經濟學系
106年度,一學期,南韓,梨花女子大學,社會科學院,經濟學系
106年度,一學期,美國,馬里蘭大學,社會科學院,經濟學系
106年度,一學期,中國大陸,北京大學,社會科學院,經濟學系
106年度,一學期,中國大陸,復旦大學,社會科學院,經濟學系
106年度,一學年,香港,香港大學,社會科學院,經濟學系
106年度,一學期,德國,柏林工業大學,社會科學院,社會學系
106年度,一學期,泰國,朱拉隆功大學,社會科學院,社會學系
106年度,一學年,南韓,高麗大學,社會科學院,社會工作學系
106年度,一學年,日本,名古屋外國語大學,工學院,土木工程學系
106年度,一學期,新加坡,新加坡國立大學,工學院,機械工程學系
106年度,一學年,新加坡,新加坡管理大學,工學院,機械工程學系
106年度,一學年,美國,加州大學,工學院,機械工程學系
106年度,一學年,日本,東京工業大學,工學院,機械工程學系
106年度,一學期,中國大陸,上海交通大學,工學院,機械工程學系
106年度,一學期,新加坡,南洋理工大學,工學院,材料科學與工程學系
106年度,一學期,瑞典,林雪平大學,工學院,材料科學與工程學系
106年度,一學期,南韓,首爾國立大學,工學院,材料科學與工程學系
106年度,一學年,美國,匹茲堡大學,生物資源暨農學院,農藝學系
106年度,一學期,中國大陸,武漢大學,生物資源暨農學院,生物環境系統工程學系
106年度,一學年,日本,筑波大學,生物資源暨農學院,生物環境系統工程學系
106年度,一學期,加拿大,愛德華王子島大學,生物資源暨農學院,生物環境系統工程學系
106年度,一學期,冰島,冰島大學,生物資源暨農學院,農業化學系
106年度,一學期,中國大陸,復旦大學,生物資源暨農學院,森林環境暨資源學系
106年度,一學期,荷蘭,馬斯垂克大學,生物資源暨農學院,森林環境暨資源學系
106年度,一學期,澳大利亞,昆士蘭大學,生物資源暨農學院,動物科學技術學系
106年度,一學期,瑞士,聖加倫大學,管理學院,財務金融學系
106年度,一學期,新加坡,南洋理工大學,生物資源暨農學院,農業經濟學系
106年度,一學年,美國,加州州立大學,生物資源暨農學院,園藝暨景觀學系
106年度,一學期,新加坡,新加坡管理大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,南韓,成均館大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,義大利,聖心天主教大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,日本,大阪大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,加拿大,多倫多大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,南韓,高麗大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,中國大陸,復旦大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,香港,香港城市大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,中國大陸,中山大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,中國大陸,復旦大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,日本,東京學藝大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學期,瑞士,伯恩大學,管理學院,工商管理學系
106年度,一學年,美國,馬里蘭大學,管理學院,工商管理學系
106年度,一學期,瑞典,斯德哥爾摩大學,管理學院,工商管理學系
106年度,一學期,新加坡,新加坡管理大學,管理學院,工商管理學系
106年度,一學期,美國,奧克拉荷瑪大學,管理學院,工商管理學系
106年度,一學期,中國大陸,天津大學,管理學院,會計學系
106年度,一學期,中國大陸,中國人民大學,管理學院,會計學系
106年度,一學年,日本,京都大學,管理學院,會計學系
106年度,一學期,美國,伊利諾大學芝加哥分校,管理學院,會計學系
106年度,一學期,中國大陸,武漢大學,管理學院,會計學系
106年度,一學年,英國,肯特大學,管理學院,財務金融學系
106年度,一學期,南韓,梨花女子大學,管理學院,財務金融學系
106年度,一學年,新加坡,新加坡管理大學,管理學院,財務金融學系
106年度,一學期,荷蘭,馬斯垂克大學,管理學院,財務金融學系
106年度,一學年,加拿大,愛德華王子島大學,管理學院,財務金融學系
106年度,一學年,香港,嶺南大學,管理學院,財務金融學系
106年度,一學期,荷蘭,萊頓大學,管理學院,財務金融學系
106年度,一學年,法國,里爾天主教大學,管理學院,財務金融學系
106年度,一學期,香港,香港中文大學,管理學院,國際企業學系
106年度,一學期,美國,匹茲堡大學,管理學院,國際企業學系
106年度,一學期,波蘭,華沙大學,管理學院,國際企業學系
106年度,一學期,英國,曼徹斯特大學,管理學院,國際企業學系
106年度,一學年,拉脫維亞,拉脫維亞大學,管理學院,國際企業學系
106年度,一學年,日本,東京學藝大學,管理學院,國際企業學系
106年度,一學期,美國,加州州立大學,管理學院,國際企業學系
106年度,一學期,荷蘭,萊頓大學,管理學院,國際企業學系
106年度,一學期,法國,巴黎高等政治學院,管理學院,國際企業學系
106年度,一學期,法國,里爾天主教大學,管理學院,國際企業學系
106年度,一學期,新加坡,南洋理工大學,管理學院,資訊管理學系
106年度,一學期,香港,香港中文大學,管理學院,會計學系
106年度,一學年,加拿大,滑鐵盧大學,管理學院,資訊管理學系
106年度,一學年,日本,橫濱國立大學,公共衛生學院,公共衛生學系
106年度,一學期,瑞典,隆德大學,公共衛生學院,公共衛生學系
106年度,一學年,法國,法國女性高等綜合理工學院,電機資訊學院,電機工程學系
106年度,一學期,美國,匹茲堡大學,電機資訊學院,電機工程學系
106年度,一學期,德國,亞亨工業大學,電機資訊學院,電機工程學系
106年度,一學年,德國,多特蒙德工業大學,電機資訊學院,資訊工程學系
106年度,一學期,丹麥,哥本哈根大學,法律學院,法律學系
106年度,一學期,新加坡,新加坡國立大學,法律學院,法律學系
106年度,一學期,中國大陸,北京師範大學,文學院,中國文學系
106年度,一學期,紐西蘭,奧克蘭大學,文學院,外國語文學系
106年度,一學期,中國大陸,貴州大學,文學院,外國語文學系
106年度,一學年,法國,特魯瓦科技大學,文學院,歷史學系
106年度,一學年,荷蘭,馬斯垂克大學,文學院,歷史學系
106年度,一學期,中國大陸,武漢大學,文學院,哲學系
106年度,一學年,南韓,延世大學,文學院,哲學系
106年度,一學期,中國大陸,北京大學,管理學院,工商管理學系
106年度,一學年,日本,九州大學,文學院,日本語文學系
106年度,一學期,日本,筑波大學,生物資源暨農學院,園藝暨景觀學系
106年度,一學年,日本,上智大學,文學院,日本語文學系
106年度,一學年,美國,加州大學,理學院,物理學系
106年度,一學年,美國,加州大學,理學院,物理學系
106年度,一學年,香港,香港理工大學,理學院,地質科學系
106年度,一學年,美國,加州州立大學,理學院,地理環境資源學系
106年度,一學期,新加坡,南洋理工大學,社會科學院,政治學系
106年度,一學年,日本,一橋大學,社會科學院,政治學系
106年度,一學年,法國,巴黎高等政治學院,社會科學院,政治學系
106年度,一學期,中國大陸,北京大學,社會科學院,政治學系
106年度,一學期,南韓,梨花女子大學,社會科學院,政治學系
106年度,一學年,加拿大,多倫多大學,社會科學院,經濟學系
106年度,一學期,馬來西亞,馬來西亞理科大學(USM),社會科學院,經濟學系
106年度,一學年,德國,慕尼黑大學,社會科學院,經濟學系
106年度,一學年,日本,東京外國語大學,社會科學院,經濟學系
106年度,一學年,英國,薩塞克斯大學,社會科學院,社會學系
106年度,一學年,新加坡,新加坡國立大學,社會科學院,社會工作學系
106年度,一學年,日本,長崎大學,工學院,機械工程學系
106年度,一學年,美國,加州州立大學,工學院,材料科學與工程學系
106年度,一學期,香港,香港中文大學,生物資源暨農學院,生物機電工程學系
106年度,一學年,義大利,聖心天主教大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,芬蘭,赫爾辛基大學,生物資源暨農學院,生物產業傳播暨發展學系
106年度,一學年,加拿大,滑鐵盧大學,生物資源暨農學院,生物機電工程學系
106年度,一學年,美國,康乃狄克大學,管理學院,工商管理學系
106年度,一學期,中國大陸,上海交通大學,管理學院,工商管理學系
106年度,一學年,美國,亞利桑那州立大學,管理學院,工商管理學系
106年度,一學年,德國,慕尼黑工業大學,管理學院,工商管理學系
106年度,一學期,中國大陸,中國人民大學,管理學院,財務金融學系
106年度,一學年,新加坡,新加坡國立大學,管理學院,財務金融學系
106年度,一學年,加拿大,蒙特婁大學,管理學院,財務金融學系
106年度,一學期,中國大陸,清華大學,管理學院,財務金融學系
106年度,一學期,美國,華盛頓大學,管理學院,國際企業學系
106年度,一學期,英國,愛丁堡大學,管理學院,國際企業學系
106年度,一學期,澳大利亞,墨爾本大學,管理學院,國際企業學系
106年度,一學期,瑞士,聖加倫大學,管理學院,國際企業學系
106年度,一學年,荷蘭,烏特列茲大學,管理學院,國際企業學系
106年度,一學期,美國,華盛頓大學,公共衛生學院,公共衛生學系
106年度,一學期,義大利,波隆納大學,法律學院,法律學系
106年度,一學年,加拿大,維多利亞大學,醫學院,醫學系
106年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,中國文學系
106年度,一學期,中國大陸,北京大學,文學院,中國文學系
106年度,一學期,中國大陸,華中科技大學,管理學院,工商管理學系
106年度,一學年,日本,日本大學,文學院,戲劇學系
